# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.8800000e+02	2.5149039e+19	1.0000000e+00
1.0000000e+04	2.8800000e+02	2.4862103e+19	9.8859058e-01
2.0000000e+04	2.8800000e+02	2.4578441e+19	9.7731134e-01
3.0000000e+04	2.8800000e+02	2.4298016e+19	9.6616079e-01
4.0000000e+04	2.8800000e+02	2.4020789e+19	9.5513745e-01
5.0000000e+04	2.8800000e+02	2.3746726e+19	9.4423989e-01
6.0000000e+04	2.8800000e+02	2.3475790e+19	9.3346667e-01
7.0000000e+04	2.8800000e+02	2.3207945e+19	9.2281635e-01
8.0000000e+04	2.8800000e+02	2.2943156e+19	9.1228756e-01
9.0000000e+04	2.8800000e+02	2.2681388e+19	9.0187889e-01
1.0000000e+05	2.8800000e+02	2.2422606e+19	8.9158898e-01
1.1000000e+05	2.8800000e+02	2.2166777e+19	8.8141646e-01
1.2000000e+05	2.8800000e+02	2.1913867e+19	8.7136002e-01
1.3000000e+05	2.8800000e+02	2.1663843e+19	8.6141831e-01
1.4000000e+05	2.8800000e+02	2.1416671e+19	8.5159002e-01
1.5000000e+05	2.8800000e+02	2.1172319e+19	8.4187388e-01
1.6000000e+05	2.8800000e+02	2.0930755e+19	8.3226859e-01
1.7000000e+05	2.8800000e+02	2.0691948e+19	8.2277289e-01
1.8000000e+05	2.8800000e+02	2.0455865e+19	8.1338553e-01
1.9000000e+05	2.8800000e+02	2.0222475e+19	8.0410527e-01
2.0000000e+05	2.8800000e+02	1.9991748e+19	7.9493090e-01
2.1000000e+05	2.8800000e+02	1.9763654e+19	7.8586120e-01
2.2000000e+05	2.8800000e+02	1.9538162e+19	7.7689498e-01
2.3000000e+05	2.8800000e+02	1.9315243e+19	7.6803106e-01
2.4000000e+05	2.8800000e+02	1.9094868e+19	7.5926828e-01
2.5000000e+05	2.8800000e+02	1.8877006e+19	7.5060547e-01
2.6000000e+05	2.8800000e+02	1.8661631e+19	7.4204150e-01
2.7000000e+05	2.8800000e+02	1.8448712e+19	7.3357524e-01
2.8000000e+05	2.8800000e+02	1.8238223e+19	7.2520557e-01
2.9000000e+05	2.8800000e+02	1.8030136e+19	7.1693140e-01
3.0000000e+05	2.8800000e+02	1.7824422e+19	7.0875163e-01
3.1000000e+05	2.8800000e+02	1.7621056e+19	7.0066518e-01
3.2000000e+05	2.8800000e+02	1.7420010e+19	6.9267100e-01
3.3000000e+05	2.8800000e+02	1.7221258e+19	6.8476803e-01
3.4000000e+05	2.8800000e+02	1.7024774e+19	6.7695522e-01
3.5000000e+05	2.8800000e+02	1.6830531e+19	6.6923156e-01
3.6000000e+05	2.8800000e+02	1.6638504e+19	6.6159602e-01
3.7000000e+05	2.8800000e+02	1.6448669e+19	6.5404759e-01
3.8000000e+05	2.8800000e+02	1.6260999e+19	6.4658529e-01
3.9000000e+05	2.8800000e+02	1.6075470e+19	6.3920813e-01
4.0000000e+05	2.8800000e+02	1.5892059e+19	6.3191514e-01
4.1000000e+05	2.8800000e+02	1.5710739e+19	6.2470535e-01
4.2000000e+05	2.8800000e+02	1.5531489e+19	6.1757783e-01
4.3000000e+05	2.8800000e+02	1.5354284e+19	6.1053163e-01
4.4000000e+05	2.8800000e+02	1.5179100e+19	6.0356582e-01
4.5000000e+05	2.8800000e+02	1.5005916e+19	5.9667948e-01
4.6000000e+05	2.8800000e+02	1.4834707e+19	5.8987172e-01
4.7000000e+05	2.8800000e+02	1.4665452e+19	5.8314162e-01
4.8000000e+05	2.8800000e+02	1.4498127e+19	5.7648832e-01
4.9000000e+05	2.8800000e+02	1.4332712e+19	5.6991092e-01
5.0000000e+05	2.8800000e+02	1.4169184e+19	5.6340857e-01
5.1000000e+05	2.8800000e+02	1.4007522e+19	5.5698041e-01
5.2000000e+05	2.8800000e+02	1.3847704e+19	5.5062558e-01
5.3000000e+05	2.8800000e+02	1.3689710e+19	5.4434327e-01
5.4000000e+05	2.8800000e+02	1.3533519e+19	5.3813263e-01
5.5000000e+05	2.8800000e+02	1.3379109e+19	5.3199285e-01
5.6000000e+05	2.8800000e+02	1.3226461e+19	5.2592312e-01
5.7000000e+05	2.8800000e+02	1.3075555e+19	5.1992264e-01
5.8000000e+05	2.8800000e+02	1.2926370e+19	5.1399063e-01
5.9000000e+05	2.8800000e+02	1.2778888e+19	5.0812629e-01
6.0000000e+05	2.8800000e+02	1.2633088e+19	5.0232887e-01
6.1000000e+05	2.8800000e+02	1.2488952e+19	4.9659759e-01
6.2000000e+05	2.8800000e+02	1.2346461e+19	4.9093170e-01
6.3000000e+05	2.8800000e+02	1.2205595e+19	4.8533045e-01
6.4000000e+05	2.8800000e+02	1.2066336e+19	4.7979312e-01
6.5000000e+05	2.8800000e+02	1.1928666e+19	4.7431896e-01
6.6000000e+05	2.8800000e+02	1.1792567e+19	4.6890725e-01
6.7000000e+05	2.8800000e+02	1.1658021e+19	4.6355730e-01
6.8000000e+05	2.8800000e+02	1.1525009e+19	4.5826838e-01
6.9000000e+05	2.8800000e+02	1.1393516e+19	4.5303980e-01
7.0000000e+05	2.8800000e+02	1.1263522e+19	4.4787088e-01
7.1000000e+05	2.8800000e+02	1.1135012e+19	4.4276094e-01
7.2000000e+05	2.8800000e+02	1.1007968e+19	4.3770929e-01
7.3000000e+05	2.8800000e+02	1.0882374e+19	4.3271528e-01
7.4000000e+05	2.8800000e+02	1.0758212e+19	4.2777825e-01
7.5000000e+05	2.8800000e+02	1.0635467e+19	4.2289755e-01
7.6000000e+05	2.8800000e+02	1.0514123e+19	4.1807254e-01
7.7000000e+05	2.8800000e+02	1.0394163e+19	4.1330257e-01
7.8000000e+05	2.8800000e+02	1.0275571e+19	4.0858703e-01
7.9000000e+05	2.8800000e+02	1.0158333e+19	4.0392529e-01
8.0000000e+05	2.8800000e+02	1.0042432e+19	3.9931674e-01
8.1000000e+05	2.8800000e+02	9.9278541e+18	3.9476077e-01
8.2000000e+05	2.8800000e+02	9.8145830e+18	3.9025678e-01
8.3000000e+05	2.8800000e+02	9.7026044e+18	3.8580418e-01
8.4000000e+05	2.8800000e+02	9.5919033e+18	3.8140237e-01
8.5000000e+05	2.8800000e+02	9.4824653e+18	3.7705080e-01
8.6000000e+05	2.8800000e+02	9.3742759e+18	3.7274887e-01
8.7000000e+05	2.8800000e+02	9.2673208e+18	3.6849602e-01
8.8000000e+05	2.8800000e+02	9.1615861e+18	3.6429169e-01
8.9000000e+05	2.8800000e+02	9.0570577e+18	3.6013534e-01
9.0000000e+05	2.8800000e+02	8.9537220e+18	3.5602640e-01
9.1000000e+05	2.8800000e+02	8.8515652e+18	3.5196435e-01
9.2000000e+05	2.8800000e+02	8.7505740e+18	3.4794864e-01
9.3000000e+05	2.8800000e+02	8.6507351e+18	3.4397875e-01
9.4000000e+05	2.8800000e+02	8.5520352e+18	3.4005415e-01
9.5000000e+05	2.8800000e+02	8.4544615e+18	3.3617433e-01
9.6000000e+05	2.8800000e+02	8.3580010e+18	3.3233878e-01
9.7000000e+05	2.8800000e+02	8.2626411e+18	3.2854699e-01
9.8000000e+05	2.8800000e+02	8.1683692e+18	3.2479846e-01
9.9000000e+05	2.8800000e+02	8.0751728e+18	3.2109270e-01
1.0000000e+06	2.8800000e+02	7.9830398e+18	3.1742922e-01
1.0100000e+06	2.8800000e+02	7.8919580e+18	3.1380753e-01
1.0200000e+06	2.8800000e+02	7.8019153e+18	3.1022717e-01
1.0300000e+06	2.8800000e+02	7.7129000e+18	3.0668766e-01
1.0400000e+06	2.8800000e+02	7.6249003e+18	3.0318853e-01
1.0500000e+06	2.8800000e+02	7.5379046e+18	2.9972933e-01
1.0600000e+06	2.8800000e+02	7.4519015e+18	2.9630959e-01
1.0700000e+06	2.8800000e+02	7.3668797e+18	2.9292887e-01
1.0800000e+06	2.8800000e+02	7.2828279e+18	2.8958672e-01
1.0900000e+06	2.8800000e+02	7.1997351e+18	2.8628271e-01
1.1000000e+06	2.8800000e+02	7.1175903e+18	2.8301639e-01
1.1100000e+06	2.8800000e+02	7.0363827e+18	2.7978734e-01
1.1200000e+06	2.8800000e+02	6.9561017e+18	2.7659513e-01
1.1300000e+06	2.8800000e+02	6.8767366e+18	2.7343934e-01
1.1400000e+06	2.8800000e+02	6.7982771e+18	2.7031955e-01
1.1500000e+06	2.8800000e+02	6.7207127e+18	2.6723536e-01
1.1600000e+06	2.8800000e+02	6.6440333e+18	2.6418636e-01
1.1700000e+06	2.8800000e+02	6.5682287e+18	2.6117215e-01
1.1800000e+06	2.8800000e+02	6.4932890e+18	2.5819233e-01
1.1900000e+06	2.8800000e+02	6.4192044e+18	2.5524651e-01
1.2000000e+06	2.8800000e+02	6.3459650e+18	2.5233429e-01
1.2100000e+06	2.8800000e+02	6.2735613e+18	2.4945530e-01
1.2200000e+06	2.8800000e+02	6.2019836e+18	2.4660917e-01
